round_epochs,loss,mean_squared_error,kullback_leibler_divergence,activation,encoder_num_conv_layers,conv_params_middle_kernel_size,conv_params_middle_activation,conv_params_end_kernel_size,conv_params_end_activation,learning_rate,latent_space_dim
100,0.004886694263134684,0.004869705,0.016988762,elu,4,(6, 3),elu,3,relu,0.001,4
100,0.009629025374140059,0.0094985645,0.1304599,relu,4,(3, 1),linear,3,relu,0.001,3
100,0.010074771552213601,0.010052395,0.022376673,relu,4,(6, 3),linear,3,sigmoid,0.0001,3
100,0.006108459572174719,0.0060912413,0.017218603,elu,5,(6, 3),relu,3,sigmoid,0.001,4
100,0.004619692697056702,0.0046059354,0.013757297,elu,5,(6, 3),elu,3,relu,0.001,4
100,0.04275006749800273,0.04247644,0.27363,elu,5,(3, 1),relu,6,relu,0.001,3
100,0.014904099388846329,0.014851915,0.052183975,relu,4,(6, 3),relu,6,sigmoid,0.0001,4
100,0.011462462177234036,0.011436987,0.025475077,elu,5,(3, 1),relu,6,relu,0.001,2
100,0.1134014446394784,0.11334692,0.054539833,elu,4,(3, 1),relu,6,sigmoid,0.0001,3
100,0.012967488457049642,0.012922796,0.044691205,relu,4,(3, 1),elu,6,relu,0.0001,2
100,0.013669949168605464,0.013508016,0.16193427,relu,5,(6, 3),linear,3,relu,0.0001,2
100,0.005549019340957914,0.0055317655,0.017253853,relu,4,(3, 1),tanh,6,relu,0.001,3
100,0.006941431068948337,0.0069183507,0.023079677,elu,5,(3, 1),linear,6,relu,0.001,4
100,0.016363475940057208,0.016296823,0.066655904,elu,4,(6, 3),tanh,6,sigmoid,0.0001,3
100,0.01336025381726878,0.01331642,0.04383509,elu,5,(3, 1),linear,3,relu,0.0001,2
100,0.05460665387766702,0.054457802,0.14885016,elu,4,(3, 1),relu,6,relu,0.001,2
100,0.016996411510876247,0.016836356,0.160056,relu,4,(6, 3),tanh,3,relu,0.0001,4
100,0.03920230037399701,0.039092395,0.10990286,elu,4,(3, 1),relu,3,relu,0.0001,2
100,0.006518113767462117,0.006497704,0.02040918,elu,5,(3, 1),elu,6,relu,0.001,3
100,0.0067405293057007445,0.006724231,0.016298754,elu,5,(3, 1),tanh,6,relu,0.001,4
100,0.004943284743598529,0.004926904,0.016379748,elu,4,(6, 3),tanh,3,relu,0.001,4
100,0.009156241523368018,0.008978005,0.17823774,elu,5,(3, 1),tanh,6,relu,0.001,3
100,0.014389008794512067,0.014338644,0.05036374,relu,5,(6, 3),elu,3,sigmoid,0.0001,4
100,0.015376331502837794,0.015329474,0.046856407,elu,5,(6, 3),relu,3,sigmoid,0.0001,4
100,0.006334102552916322,0.00631586,0.018242404,relu,5,(3, 1),elu,3,relu,0.001,4
100,0.017747425852077347,0.017679546,0.06787871,elu,5,(3, 1),tanh,6,sigmoid,0.0001,2
100,0.011685114508228643,0.011647048,0.03806583,relu,5,(3, 1),linear,6,relu,0.0001,3
100,0.04086207724043301,0.04074926,0.11281557,relu,4,(3, 1),elu,6,sigmoid,0.001,3
100,0.007695876003376075,0.00767304,0.022835163,relu,4,(6, 3),elu,6,sigmoid,0.0001,3
100,0.005124365399990763,0.005113673,0.010692425,relu,5,(6, 3),tanh,6,sigmoid,0.001,3
100,0.013720298648944923,0.013683528,0.036771342,relu,5,(3, 1),linear,6,sigmoid,0.0001,3
100,0.005336452304784741,0.0053233346,0.013117473,elu,5,(6, 3),relu,6,sigmoid,0.001,4
100,0.04225071076835905,0.0421267,0.12401272,relu,4,(6, 3),elu,3,sigmoid,0.0001,4
100,0.0523964838044984,0.05222935,0.167133,relu,5,(3, 1),relu,6,sigmoid,0.0001,4
100,0.01255097189119884,0.012410767,0.14020316,relu,5,(6, 3),elu,3,relu,0.001,2
100,0.035665766979966845,0.0355009,0.16486603,relu,5,(6, 3),elu,3,relu,0.0001,2
100,0.05017642898218972,0.04989313,0.28330222,elu,4,(3, 1),elu,3,relu,0.0001,2
100,0.02471724129148892,0.024326717,0.39052364,elu,4,(3, 1),tanh,6,relu,0.001,4
